strata_id	layer1	layer2	layer3	layer4	layer5	layer6	acres	ageclass	modeled_strata	
BNSHWM	B	N	S	H	W	M	206.0	8	true	
BNSHWP	B	N	S	H	W	P	113.0	4	true	
BNSHWS	B	N	S	H	W	S	215.0	2	true	
BNSRCL	B	N	S	R	C	L	8882.0	8	true	
BNSRCM	B	N	S	R	C	M	1847.0	8	true	
BNSRCP	B	N	S	R	C	P	453.0	4	true	
BNSRCS	B	N	S	R	C	S	183.0	2	true	
BNSRDL	B	N	S	R	D	L	495.0	8	true	
BNSRDM	B	N	S	R	D	M	211.0	8	true	
BNSRDP	B	N	S	R	D	P	80.0	null	true	
BNSRDS	B	N	S	R	D	S	66.0	2	true	
BNSRLL	B	N	S	R	L	L	88.0	8	true	
BNSRNN	B	N	S	R	N	N	811.0	null	true	
BNSRPL	B	N	S	R	P	L	645.0	8	true	
BNSRPP	B	N	S	R	P	P	56.0	null	true	
BNSRWL	B	N	S	R	W	L	5031.0	8	true	
BNSRWM	B	N	S	R	W	M	801.0	8	true	
BNSRWP	B	N	S	R	W	P	657.0	4	true	
BNSRWS	B	N	S	R	W	S	545.0	2	true	
BRNCAL	B	R	N	C	A	L	137.0	9	true	
BRNCAM	B	R	N	C	A	M	113.0	8	true	
BRNCCL	B	R	N	C	C	L	4702.0	8	true	
BRNCCM	B	R	N	C	C	M	987.0	8	true	
BRNCCP	B	R	N	C	C	P	194.0	4	true	
BRNCCS	B	R	N	C	C	S	104.0	2	true	
BRNCDL	B	R	N	C	D	L	542.0	8	true	
BRNCDM	B	R	N	C	D	M	377.0	8	true	
BRNCDP	B	R	N	C	D	P	56.0	null	true	
BRNCIL	B	R	N	C	I	L	239.0	8	true	
BRNCIM	B	R	N	C	I	M	79.0	8	true	
BRNCLL	B	R	N	C	L	L	140.0	8	true	
BRNCLM	B	R	N	C	L	M	161.0	8	true	
BRNCNN	B	R	N	C	N	N	1412.0	null	true	
BRNCPL	B	R	N	C	P	L	837.0	8	true	
BRNCPM	B	R	N	C	P	M	442.0	8	true	
BRNCPP	B	R	N	C	P	P	55.0	null	true	
BRNCWL	B	R	N	C	W	L	3076.0	8	true	
BRNCWM	B	R	N	C	W	M	1750.0	8	true	
BRNCWP	B	R	N	C	W	P	260.0	4	true	
BRNCWS	B	R	N	C	W	S	163.0	2	true	
BRNHAM	B	R	N	H	A	M	57.0	8	true	
BRNHCL	B	R	N	H	C	L	1019.0	8	true	
BRNHCM	B	R	N	H	C	M	509.0	8	true	
BRNHCP	B	R	N	H	C	P	58.0	4	true	
BRNHLM	B	R	N	H	L	M	118.0	8	true	
BRNHWL	B	R	N	H	W	L	706.0	8	true	
BRNHWM	B	R	N	H	W	M	409.0	8	true	
BRNHWP	B	R	N	H	W	P	129.0	4	true	
BRNLAL	B	R	N	L	A	L	310.0	9	true	
BRNLAM	B	R	N	L	A	M	195.0	8	true	
BRNLCL	B	R	N	L	C	L	1571.0	8	true	
BRNLCM	B	R	N	L	C	M	761.0	8	true	
BRNLCP	B	R	N	L	C	P	80.0	4	true	
BRNLDL	B	R	N	L	D	L	61.0	8	true	
BRNLDM	B	R	N	L	D	M	107.0	8	true	
BRNLIL	B	R	N	L	I	L	113.0	8	true	
BRNLIM	B	R	N	L	I	M	112.0	8	true	
BRNLLM	B	R	N	L	L	M	67.0	8	true	
BRNLNN	B	R	N	L	N	N	779.0	null	true	
BRNLWL	B	R	N	L	W	L	1333.0	8	true	
BRNLWM	B	R	N	L	W	M	938.0	8	true	
BRNLWP	B	R	N	L	W	P	106.0	4	true	
BRNRAL	B	R	N	R	A	L	79.0	9	true	
BRNRCL	B	R	N	R	C	L	2381.0	8	true	
BRNRCM	B	R	N	R	C	M	760.0	8	true	
BRNRCP	B	R	N	R	C	P	111.0	4	true	
BRNRDL	B	R	N	R	D	L	314.0	8	true	
BRNRDM	B	R	N	R	D	M	120.0	8	true	
BRNRLL	B	R	N	R	L	L	56.0	8	true	
BRNRNN	B	R	N	R	N	N	1135.0	null	true	
BRNRPL	B	R	N	R	P	L	68.0	8	true	
BRNRPM	B	R	N	R	P	M	136.0	8	true	
BRNRWL	B	R	N	R	W	L	1929.0	8	true	
BRNRWM	B	R	N	R	W	M	606.0	8	true	
BRNRWP	B	R	N	R	W	P	128.0	4	true	
BRNRWS	B	R	N	R	W	S	61.0	2	true	
BROCCL	B	R	O	C	C	L	311.0	8	true	
BROCCM	B	R	O	C	C	M	51.0	8	true	
BROCCS	B	R	O	C	C	S	78.0	2	true	
BROCDL	B	R	O	C	D	L	128.0	8	true	
BROCPL	B	R	O	C	P	L	83.0	8	true	
BROCWL	B	R	O	C	W	L	335.0	8	true	
BROCWM	B	R	O	C	W	M	66.0	8	true	
BROHCL	B	R	O	H	C	L	168.0	8	true	
BROLCL	B	R	O	L	C	L	65.0	8	true	
BRORCL	B	R	O	R	C	L	1611.0	8	true	
BRORCM	B	R	O	R	C	M	360.0	8	true	
BRORCP	B	R	O	R	C	P	70.0	4	true	
BRORCS	B	R	O	R	C	S	58.0	2	true	
BRORDL	B	R	O	R	D	L	248.0	8	true	
BRORNN	B	R	O	R	N	N	86.0	null	true	
BRORPL	B	R	O	R	P	L	82.0	8	true	
BRORWL	B	R	O	R	W	L	1268.0	8	true	
BRORWM	B	R	O	R	W	M	246.0	8	true	
BRORWP	B	R	O	R	W	P	63.0	4	true	
BRORWS	B	R	O	R	W	S	60.0	2	true	
BRPCAL	B	R	P	C	A	L	86.0	9	true	
BRPCAS	B	R	P	C	A	S	77.0	1	true	
BRPCCL	B	R	P	C	C	L	1056.0	8	true	
BRPCCM	B	R	P	C	C	M	219.0	8	true	
BRPCCP	B	R	P	C	C	P	64.0	4	true	
BRPCCS	B	R	P	C	C	S	392.0	2	true	
BRPCDL	B	R	P	C	D	L	217.0	8	true	
BRPCDS	B	R	P	C	D	S	67.0	2	true	
BRPCIL	B	R	P	C	I	L	167.0	8	true	
BRPCIS	B	R	P	C	I	S	61.0	1	true	
BRPCNN	B	R	P	C	N	N	123.0	null	true	
BRPCPL	B	R	P	C	P	L	293.0	8	true	
BRPCPS	B	R	P	C	P	S	53.0	2	true	
BRPCWL	B	R	P	C	W	L	1167.0	8	true	
BRPCWM	B	R	P	C	W	M	160.0	8	true	
BRPCWP	B	R	P	C	W	P	277.0	4	true	
BRPCWS	B	R	P	C	W	S	464.0	2	true	
BRPHCL	B	R	P	H	C	L	644.0	8	true	
BRPHCM	B	R	P	H	C	M	333.0	8	true	
BRPHLL	B	R	P	H	L	L	79.0	8	true	
BRPHWL	B	R	P	H	W	L	324.0	8	true	
BRPHWM	B	R	P	H	W	M	203.0	8	true	
BRPHWP	B	R	P	H	W	P	76.0	4	true	
BRPLAL	B	R	P	L	A	L	85.0	9	true	
BRPLAM	B	R	P	L	A	M	77.0	8	true	
BRPLCL	B	R	P	L	C	L	471.0	8	true	
BRPLCM	B	R	P	L	C	M	85.0	8	true	
BRPLCP	B	R	P	L	C	P	53.0	4	true	
BRPLCS	B	R	P	L	C	S	155.0	2	true	
BRPLIL	B	R	P	L	I	L	72.0	8	true	
BRPLWL	B	R	P	L	W	L	424.0	8	true	
BRPLWM	B	R	P	L	W	M	68.0	8	true	
BRPLWP	B	R	P	L	W	P	85.0	4	true	
BRPLWS	B	R	P	L	W	S	139.0	2	true	
BRPRAL	B	R	P	R	A	L	52.0	9	true	
BRPRCL	B	R	P	R	C	L	7588.0	8	true	
BRPRCM	B	R	P	R	C	M	2608.0	8	true	
BRPRCP	B	R	P	R	C	P	394.0	4	true	
BRPRCS	B	R	P	R	C	S	399.0	2	true	
BRPRDL	B	R	P	R	D	L	1188.0	8	true	
BRPRDM	B	R	P	R	D	M	344.0	8	true	
BRPRDP	B	R	P	R	D	P	138.0	null	true	
BRPRDS	B	R	P	R	D	S	277.0	2	true	
BRPRIL	B	R	P	R	I	L	92.0	8	true	
BRPRIP	B	R	P	R	I	P	55.0	4	true	
BRPRLL	B	R	P	R	L	L	81.0	8	true	
BRPRNN	B	R	P	R	N	N	166.0	null	true	
BRPRPL	B	R	P	R	P	L	481.0	8	true	
BRPRPM	B	R	P	R	P	M	162.0	8	true	
BRPRPP	B	R	P	R	P	P	70.0	null	true	
BRPRPS	B	R	P	R	P	S	57.0	2	true	
BRPRWL	B	R	P	R	W	L	5277.0	8	true	
BRPRWM	B	R	P	R	W	M	1743.0	8	true	
BRPRWP	B	R	P	R	W	P	373.0	4	true	
BRPRWS	B	R	P	R	W	S	554.0	2	true	
CNNCAL	C	N	N	C	A	L	13028.0	9	true	
CNNCAM	C	N	N	C	A	M	28537.0	8	true	
CNNCAP	C	N	N	C	A	P	27072.0	4	true	
CNNCAS	C	N	N	C	A	S	292.0	1	true	
CNNCCL	C	N	N	C	C	L	3782.0	8	true	
CNNCCM	C	N	N	C	C	M	755.0	8	true	
CNNCCP	C	N	N	C	C	P	395.0	4	true	
CNNCCS	C	N	N	C	C	S	71.0	2	true	
CNNCDL	C	N	N	C	D	L	1562.0	8	true	
CNNCDM	C	N	N	C	D	M	636.0	8	true	
CNNCDP	C	N	N	C	D	P	123.0	null	true	
CNNCDS	C	N	N	C	D	S	154.0	2	true	
CNNCIL	C	N	N	C	I	L	8449.0	8	true	
CNNCIM	C	N	N	C	I	M	14243.0	8	true	
CNNCIP	C	N	N	C	I	P	7732.0	4	true	
CNNCIS	C	N	N	C	I	S	731.0	1	true	
CNNCLL	C	N	N	C	L	L	3055.0	8	true	
CNNCLM	C	N	N	C	L	M	9430.0	8	true	
CNNCLP	C	N	N	C	L	P	9579.0	4	true	
CNNCNM	C	N	N	C	N	M	129.0	null	true	
CNNCNN	C	N	N	C	N	N	77113.0	null	true	
CNNCPL	C	N	N	C	P	L	3182.0	8	true	
CNNCPM	C	N	N	C	P	M	3068.0	8	true	
CNNCPP	C	N	N	C	P	P	291.0	null	true	
CNNCPS	C	N	N	C	P	S	240.0	2	true	
CNNCWL	C	N	N	C	W	L	3931.0	8	true	
CNNCWM	C	N	N	C	W	M	2908.0	8	true	
CNNCWP	C	N	N	C	W	P	749.0	4	true	
CNNCWS	C	N	N	C	W	S	118.0	2	true	
CNNHAL	C	N	N	H	A	L	997.0	9	true	
CNNHAM	C	N	N	H	A	M	907.0	8	true	
CNNHAP	C	N	N	H	A	P	861.0	4	true	
CNNHIL	C	N	N	H	I	L	1058.0	8	true	
CNNHIM	C	N	N	H	I	M	925.0	8	true	
CNNHIP	C	N	N	H	I	P	484.0	4	true	
CNNHLL	C	N	N	H	L	L	724.0	8	true	
CNNHLM	C	N	N	H	L	M	390.0	8	true	
CNNHLP	C	N	N	H	L	P	316.0	4	true	
CNNHNN	C	N	N	H	N	N	153.0	null	true	
CNNHWL	C	N	N	H	W	L	142.0	8	true	
CNNLAL	C	N	N	L	A	L	33323.0	9	true	
CNNLAM	C	N	N	L	A	M	56955.0	8	true	
CNNLAP	C	N	N	L	A	P	38935.0	4	true	
CNNLAS	C	N	N	L	A	S	1116.0	1	true	
CNNLCL	C	N	N	L	C	L	5270.0	8	true	
CNNLCM	C	N	N	L	C	M	1025.0	8	true	
CNNLCP	C	N	N	L	C	P	473.0	4	true	
CNNLCS	C	N	N	L	C	S	200.0	2	true	
CNNLDL	C	N	N	L	D	L	1744.0	8	true	
CNNLDM	C	N	N	L	D	M	666.0	8	true	
CNNLDP	C	N	N	L	D	P	51.0	null	true	
CNNLDS	C	N	N	L	D	S	184.0	2	true	
CNNLIL	C	N	N	L	I	L	19303.0	8	true	
CNNLIM	C	N	N	L	I	M	32817.0	8	true	
CNNLIP	C	N	N	L	I	P	14895.0	4	true	
CNNLIS	C	N	N	L	I	S	1863.0	1	true	
CNNLLL	C	N	N	L	L	L	6453.0	8	true	
CNNLLM	C	N	N	L	L	M	23216.0	8	true	
CNNLLP	C	N	N	L	L	P	17277.0	4	true	
CNNLNL	C	N	N	L	N	L	94.0	null	true	
CNNLNM	C	N	N	L	N	M	151.0	null	true	
CNNLNN	C	N	N	L	N	N	55416.0	null	true	
CNNLPL	C	N	N	L	P	L	1803.0	8	true	
CNNLPM	C	N	N	L	P	M	2528.0	8	true	
CNNLPP	C	N	N	L	P	P	370.0	null	true	
CNNLPS	C	N	N	L	P	S	110.0	2	true	
CNNLWL	C	N	N	L	W	L	7496.0	8	true	
CNNLWM	C	N	N	L	W	M	5075.0	8	true	
CNNLWP	C	N	N	L	W	P	1715.0	4	true	
CNNLWS	C	N	N	L	W	S	331.0	2	true	
CNNRAL	C	N	N	R	A	L	1237.0	9	true	
CNNRAM	C	N	N	R	A	M	2226.0	8	true	
CNNRAP	C	N	N	R	A	P	1865.0	4	true	
CNNRAS	C	N	N	R	A	S	206.0	1	true	
CNNRIL	C	N	N	R	I	L	1061.0	8	true	
CNNRIM	C	N	N	R	I	M	1499.0	8	true	
CNNRIP	C	N	N	R	I	P	836.0	4	true	
CNNRIS	C	N	N	R	I	S	213.0	1	true	
CNNRLL	C	N	N	R	L	L	638.0	8	true	
CNNRLM	C	N	N	R	L	M	794.0	8	true	
CNNRLP	C	N	N	R	L	P	597.0	4	true	
CNNRNN	C	N	N	R	N	N	1239.0	null	true	
CNNRWL	C	N	N	R	W	L	152.0	8	true	
CNNRWM	C	N	N	R	W	M	103.0	8	true	
CNOCAL	C	N	O	C	A	L	120.0	9	true	
CNOCAM	C	N	O	C	A	M	204.0	8	true	
CNOCAP	C	N	O	C	A	P	117.0	4	true	
CNOCCL	C	N	O	C	C	L	86.0	8	true	
CNOCIL	C	N	O	C	I	L	129.0	8	true	
CNOCIM	C	N	O	C	I	M	53.0	8	true	
CNOCIP	C	N	O	C	I	P	72.0	4	true	
CNOCLL	C	N	O	C	L	L	60.0	8	true	
CNOCLM	C	N	O	C	L	M	60.0	8	true	
CNOCLP	C	N	O	C	L	P	57.0	4	true	
CNOCWL	C	N	O	C	W	L	65.0	8	true	
CNOHAL	C	N	O	H	A	L	426.0	9	true	
CNOHAM	C	N	O	H	A	M	448.0	8	true	
CNOHAP	C	N	O	H	A	P	695.0	4	true	
CNOHIL	C	N	O	H	I	L	393.0	8	true	
CNOHIM	C	N	O	H	I	M	348.0	8	true	
CNOHIP	C	N	O	H	I	P	338.0	4	true	
CNOHLL	C	N	O	H	L	L	167.0	8	true	
CNOHLM	C	N	O	H	L	M	273.0	8	true	
CNOHLP	C	N	O	H	L	P	266.0	4	true	
CNOHWL	C	N	O	H	W	L	55.0	8	true	
CNOLAL	C	N	O	L	A	L	97.0	9	true	
CNOLAM	C	N	O	L	A	M	147.0	8	true	
CNOLAP	C	N	O	L	A	P	333.0	4	true	
CNOLIM	C	N	O	L	I	M	71.0	8	true	
CNOLIP	C	N	O	L	I	P	91.0	4	true	
CNOLLM	C	N	O	L	L	M	56.0	8	true	
CNOLLP	C	N	O	L	L	P	101.0	4	true	
CNORAL	C	N	O	R	A	L	336.0	9	true	
CNORAM	C	N	O	R	A	M	217.0	8	true	
CNORAP	C	N	O	R	A	P	218.0	4	true	
CNORIL	C	N	O	R	I	L	409.0	8	true	
CNORIM	C	N	O	R	I	M	252.0	8	true	
CNORIP	C	N	O	R	I	P	233.0	4	true	
CNORLL	C	N	O	R	L	L	241.0	8	true	
CNORLM	C	N	O	R	L	M	156.0	8	true	
CNORLP	C	N	O	R	L	P	159.0	4	true	
CNORWL	C	N	O	R	W	L	109.0	8	true	
CNORWM	C	N	O	R	W	M	67.0	8	true	
CNPCAL	C	N	P	C	A	L	498.0	9	true	
CNPCAM	C	N	P	C	A	M	992.0	8	true	
CNPCAP	C	N	P	C	A	P	1161.0	4	true	
CNPCCL	C	N	P	C	C	L	713.0	8	true	
CNPCCM	C	N	P	C	C	M	220.0	8	true	
CNPCCP	C	N	P	C	C	P	114.0	4	true	
CNPCIL	C	N	P	C	I	L	830.0	8	true	
CNPCIM	C	N	P	C	I	M	548.0	8	true	
CNPCIP	C	N	P	C	I	P	657.0	4	true	
CNPCLL	C	N	P	C	L	L	504.0	8	true	
CNPCLM	C	N	P	C	L	M	751.0	8	true	
CNPCLP	C	N	P	C	L	P	1143.0	4	true	
CNPCNN	C	N	P	C	N	N	237.0	null	true	
CNPCWL	C	N	P	C	W	L	985.0	8	true	
CNPCWM	C	N	P	C	W	M	254.0	8	true	
CNPCWP	C	N	P	C	W	P	445.0	4	true	
CNPHAL	C	N	P	H	A	L	116.0	9	true	
CNPHAM	C	N	P	H	A	M	548.0	8	true	
CNPHAP	C	N	P	H	A	P	881.0	4	true	
CNPHIL	C	N	P	H	I	L	135.0	8	true	
CNPHIM	C	N	P	H	I	M	358.0	8	true	
CNPHIP	C	N	P	H	I	P	552.0	4	true	
CNPHLL	C	N	P	H	L	L	103.0	8	true	
CNPHLM	C	N	P	H	L	M	346.0	8	true	
CNPHLP	C	N	P	H	L	P	577.0	4	true	
CNPLAL	C	N	P	L	A	L	186.0	9	true	
CNPLAM	C	N	P	L	A	M	734.0	8	true	
CNPLAP	C	N	P	L	A	P	1208.0	4	true	
CNPLIM	C	N	P	L	I	M	289.0	8	true	
CNPLIP	C	N	P	L	I	P	173.0	4	true	
CNPLLL	C	N	P	L	L	L	55.0	8	true	
CNPLLM	C	N	P	L	L	M	238.0	8	true	
CNPLLP	C	N	P	L	L	P	234.0	4	true	
CNPLNN	C	N	P	L	N	N	186.0	null	true	
CNPRAM	C	N	P	R	A	M	318.0	8	true	
CNPRAP	C	N	P	R	A	P	809.0	4	true	
CNPRIL	C	N	P	R	I	L	98.0	8	true	
CNPRIM	C	N	P	R	I	M	155.0	8	true	
CNPRIP	C	N	P	R	I	P	112.0	4	true	
CNPRLL	C	N	P	R	L	L	86.0	8	true	
CNPRLM	C	N	P	R	L	M	96.0	8	true	
CNPRLP	C	N	P	R	L	P	157.0	4	true	
CNSCAL	C	N	S	C	A	L	637.0	9	true	
CNSCAM	C	N	S	C	A	M	478.0	8	true	
CNSCAP	C	N	S	C	A	P	607.0	4	true	
CNSCCL	C	N	S	C	C	L	592.0	8	true	
CNSCIL	C	N	S	C	I	L	834.0	8	true	
CNSCIM	C	N	S	C	I	M	408.0	8	true	
CNSCIP	C	N	S	C	I	P	348.0	4	true	
CNSCLL	C	N	S	C	L	L	890.0	8	true	
CNSCLM	C	N	S	C	L	M	528.0	8	true	
CNSCLP	C	N	S	C	L	P	473.0	4	true	
CNSCNN	C	N	S	C	N	N	260.0	null	true	
CNSCWL	C	N	S	C	W	L	828.0	8	true	
CNSCWM	C	N	S	C	W	M	109.0	8	true	
CNSCWP	C	N	S	C	W	P	61.0	4	true	
CNSHAL	C	N	S	H	A	L	3564.0	9	true	
CNSHAM	C	N	S	H	A	M	3792.0	8	true	
CNSHAP	C	N	S	H	A	P	5069.0	4	true	
CNSHAS	C	N	S	H	A	S	98.0	1	true	
CNSHCL	C	N	S	H	C	L	287.0	8	true	
CNSHIL	C	N	S	H	I	L	3769.0	8	true	
CNSHIM	C	N	S	H	I	M	2307.0	8	true	
CNSHIP	C	N	S	H	I	P	2218.0	4	true	
CNSHIS	C	N	S	H	I	S	137.0	1	true	
CNSHLL	C	N	S	H	L	L	2904.0	8	true	
CNSHLM	C	N	S	H	L	M	2396.0	8	true	
CNSHLP	C	N	S	H	L	P	2897.0	4	true	
CNSHNN	C	N	S	H	N	N	741.0	null	true	
CNSHPM	C	N	S	H	P	M	127.0	8	true	
CNSHWL	C	N	S	H	W	L	1064.0	8	true	
CNSHWM	C	N	S	H	W	M	305.0	8	true	
CNSHWP	C	N	S	H	W	P	291.0	4	true	
CNSLAL	C	N	S	L	A	L	240.0	9	true	
CNSLAM	C	N	S	L	A	M	786.0	8	true	
CNSLAP	C	N	S	L	A	P	1751.0	4	true	
CNSLIL	C	N	S	L	I	L	190.0	8	true	
CNSLIM	C	N	S	L	I	M	552.0	8	true	
CNSLIP	C	N	S	L	I	P	440.0	4	true	
CNSLLL	C	N	S	L	L	L	143.0	8	true	
CNSLLM	C	N	S	L	L	M	314.0	8	true	
CNSLLP	C	N	S	L	L	P	707.0	4	true	
CNSLNN	C	N	S	L	N	N	530.0	null	true	
CNSLWM	C	N	S	L	W	M	67.0	8	true	
CNSRAL	C	N	S	R	A	L	4105.0	9	true	
CNSRAM	C	N	S	R	A	M	3298.0	8	true	
CNSRAP	C	N	S	R	A	P	3680.0	4	true	
CNSRAS	C	N	S	R	A	S	397.0	1	true	
CNSRCL	C	N	S	R	C	L	298.0	8	true	
CNSRCM	C	N	S	R	C	M	261.0	8	true	
CNSRDL	C	N	S	R	D	L	97.0	8	true	
CNSRDM	C	N	S	R	D	M	131.0	8	true	
CNSRIL	C	N	S	R	I	L	6065.0	8	true	
CNSRIM	C	N	S	R	I	M	3725.0	8	true	
CNSRIP	C	N	S	R	I	P	2731.0	4	true	
CNSRIS	C	N	S	R	I	S	291.0	1	true	
CNSRLL	C	N	S	R	L	L	2477.0	8	true	
CNSRLM	C	N	S	R	L	M	2457.0	8	true	
CNSRLP	C	N	S	R	L	P	2377.0	4	true	
CNSRLS	C	N	S	R	L	S	65.0	1	true	
CNSRNN	C	N	S	R	N	N	601.0	null	true	
CNSRPL	C	N	S	R	P	L	108.0	8	true	
CNSRPM	C	N	S	R	P	M	407.0	8	true	
CNSRPP	C	N	S	R	P	P	193.0	null	true	
CNSRPS	C	N	S	R	P	S	62.0	2	true	
CNSRWL	C	N	S	R	W	L	1161.0	8	true	
CNSRWM	C	N	S	R	W	M	955.0	8	true	
CNSRWP	C	N	S	R	W	P	375.0	4	true	
CRNCAL	C	R	N	C	A	L	1825.0	9	true	
CRNCAM	C	R	N	C	A	M	2819.0	8	true	
CRNCAP	C	R	N	C	A	P	1198.0	4	true	
CRNCAS	C	R	N	C	A	S	189.0	1	true	
CRNCCL	C	R	N	C	C	L	74.0	8	true	
CRNCIL	C	R	N	C	I	L	2085.0	8	true	
CRNCIM	C	R	N	C	I	M	1970.0	8	true	
CRNCIP	C	R	N	C	I	P	756.0	4	true	
CRNCIS	C	R	N	C	I	S	94.0	1	true	
CRNCLL	C	R	N	C	L	L	516.0	8	true	
CRNCLM	C	R	N	C	L	M	1452.0	8	true	
CRNCLP	C	R	N	C	L	P	620.0	4	true	
CRNCLS	C	R	N	C	L	S	51.0	1	true	
CRNCNN	C	R	N	C	N	N	3474.0	null	true	
CRNCPL	C	R	N	C	P	L	1166.0	8	true	
CRNCPM	C	R	N	C	P	M	1202.0	8	true	
CRNCPP	C	R	N	C	P	P	147.0	null	true	
CRNCWL	C	R	N	C	W	L	212.0	8	true	
CRNCWM	C	R	N	C	W	M	296.0	8	true	
CRNCWP	C	R	N	C	W	P	141.0	4	true	
CRNHAL	C	R	N	H	A	L	127.0	9	true	
CRNHAM	C	R	N	H	A	M	818.0	8	true	
CRNHAP	C	R	N	H	A	P	713.0	4	true	
CRNHIL	C	R	N	H	I	L	205.0	8	true	
CRNHIM	C	R	N	H	I	M	318.0	8	true	
CRNHIP	C	R	N	H	I	P	223.0	4	true	
